0 0 0
1e-06 0.154508 2.77556e-17
2e-06 0.293893 5.55112e-17
3e-06 0.404508 8.32667e-17
4e-06 0.475528 1.11022e-16
5e-06 0.5 1.11022e-16
6e-06 0.475528 8.32667e-17
7e-06 0.404508 1.11022e-16
8e-06 0.293893 5.55112e-17
9e-06 0.154508 2.77556e-17
1e-05 4.44089e-16 0
1.1e-05 -0.154508 0
1.2e-05 -0.293893 -2.77556e-17
1.3e-05 -0.404508 -1.38778e-16
1.4e-05 -0.475528 -1.11022e-16
1.5e-05 -0.5 -1.11022e-16
1.6e-05 -0.475528 -1.11022e-16
1.7e-05 -0.404508 -1.11022e-16
1.8e-05 -0.293893 -5.55112e-17
1.9e-05 -0.154508 0
2e-05 -8.60423e-16 0
2.1e-05 0.154508 0
2.2e-05 0.293893 5.55112e-17
2.3e-05 0.404508 1.11022e-16
2.4e-05 0.475528 1.38778e-16
2.5e-05 0.5 1.11022e-16
2.6e-05 0.475528 1.11022e-16
2.7e-05 0.404508 1.38778e-16
2.8e-05 0.293893 2.77556e-17
2.9e-05 0.154508 2.77556e-17
3e-05 1.36002e-15 0
3.1e-05 -0.154508 -2.77556e-17
3.2e-05 -0.293893 -5.55112e-17
3.3e-05 -0.404508 -1.38778e-16
3.4e-05 -0.475528 -1.11022e-16
3.5e-05 -0.5 -1.11022e-16
3.6e-05 -0.475528 -1.11022e-16
3.7e-05 -0.404508 -8.32667e-17
3.8e-05 -0.293893 -5.55112e-17
3.9e-05 -0.154508 -2.77556e-17
4e-05 -1.94289e-15 0
4.1e-05 0.154508 2.77556e-17
4.2e-05 0.293893 5.55112e-17
4.3e-05 0.404508 8.32667e-17
4.4e-05 0.475528 1.11022e-16
4.5e-05 0.5 9.71445e-17
4.6e-05 0.475528 8.32667e-17
4.7e-05 0.404508 1.38778e-16
4.8e-05 0.293893 2.77556e-17
4.9e-05 0.154508 0
5e-05 2.41474e-15 0
5.1e-05 -0.154508 0
5.2e-05 -0.293893 -2.77556e-17
5.3e-05 -0.404508 -1.38778e-16
5.4e-05 -0.475528 -1.11022e-16
5.5e-05 -0.5 -1.11022e-16
5.6e-05 -0.475528 -1.11022e-16
5.7e-05 -0.404508 -8.32667e-17
5.8e-05 -0.293893 -5.55112e-17
5.9e-05 -0.154508 -2.77556e-17
6e-05 -2.96985e-15 0
6.1e-05 0.154508 2.77556e-17
6.2e-05 0.293893 5.55112e-17
6.3e-05 0.404508 1.11022e-16
6.4e-05 0.475528 1.11022e-16
6.5e-05 0.5 1.11022e-16
6.6e-05 0.475528 8.32667e-17
6.7e-05 0.404508 1.11022e-16
6.8e-05 0.293893 2.77556e-17
6.9e-05 0.154508 0
7e-05 3.44169e-15 0
7.1e-05 -0.154508 -2.77556e-17
7.2e-05 -0.293893 -2.77556e-17
7.3e-05 -0.404508 -8.32667e-17
7.4e-05 -0.475528 -1.11022e-16
7.5e-05 -0.5 -1.11022e-16
7.6e-05 -0.475528 -1.11022e-16
7.7e-05 -0.404508 -1.11022e-16
7.8e-05 -0.293893 -5.55112e-17
7.9e-05 -0.154508 -2.77556e-17
8e-05 -3.85803e-15 0
8.1e-05 0.154508 0
8.2e-05 0.293893 5.55112e-17
8.3e-05 0.404508 1.11022e-16
8.4e-05 0.475528 1.11022e-16
8.5e-05 0.5 9.71445e-17
8.6e-05 0.475528 1.11022e-16
8.7e-05 0.404508 1.11022e-16
8.8e-05 0.293893 2.77556e-17
8.9e-05 0.154508 0
9e-05 4.32987e-15 0
9.1e-05 -0.154508 -2.77556e-17
9.2e-05 -0.293893 -5.55112e-17
9.3e-05 -0.404508 -1.38778e-16
9.4e-05 -0.475528 -1.11022e-16
9.5e-05 -0.5 -1.11022e-16
9.6e-05 -0.475528 -1.11022e-16
9.7e-05 -0.404508 -1.11022e-16
9.8e-05 -0.293893 -5.55112e-17
9.9e-05 -0.154508 -2.77556e-17
